Name,DOB,DOD
Bhim Acharya,1959-04-27,NA
Mahesh Acharya,1954-08-06,NA
Mahadev Bajgai,1978-02-23,NA
Narahari Acharya,1953-09-27,NA
Dilendra Prasad Badu,1954-01-09,NA
Khadgajeet Baral,1928-04-17,"May 19, 2021"
Shakti Bahadur Basnet,1971-04-14,NA
Damodar Bhandari,1973-11-05,NA
Dev Raj Bhar,1952-01-29,NA
Lekh Raj Bhatta,1960-03-24,NA
Baburam Bhattarai,1954-06-18,NA
Narayan Man Bijukchhe,1939-03-09,NA
Khadga Bahadur Bishwakarma,1968-05-17,NA
Post Bahadur Bogati,1953-07-18,15 September 2014
Nar Bahadur Chand,1962-08-29,"06 Simayal, Baitadi"
Ranju Darshana,1996-03-03,NA
Arzu Rana Deuba,1962-01-26,NA
Sher Bahadur Deuba,1946-06-13,NA
Bijay Kumar Gachhadar,1954-02-01,NA
Bam Dev Gautam,1948-07-09,NA
Bhagwan Das Gupta,1940-01-01,15 November 1998
Kul Bahadur Gurung,1935-11-23,NA
Tek Bahadur Gurung,1954-11-26,NA
Pradeep Kumar Gyawali,1962-09-13,NA
Bhanu Bhakta Joshi,1969-07-25,NA
Govinda Raj Joshi,1949-08-12,NA
Nabindra Raj Joshi,1964-01-08,26 March 2021
Arjun Narasingha K.C.,1950-09-27,NA
Chitra Bahadur K.C.,1934-01-01,NA
Ram Karki,1956-10-16,NA
Sushila Karki,1952-06-07,NA
Narayan Khadka,1949-03-20,NA
Jhala Nath Khanal,1950-05-20,NA
Shashanka Koirala,1958-10-24,NA
Shekhar Koirala,1950-08-25,NA
Sujata Koirala,1954-02-09,NA
Sushil Koirala,1939-08-12,9 February 2016
Dil Bahadur Lama,1930-03-21,25 March 2014
Krishna Bahadur Mahara,1958-06-29,NA
Chandra Maharjan,1954-11-16,NA
Ram Saran Mahat,1951-01-01,NA
Mahadev Bajgai,1978-02-23,NA
Rajendra Mahato,1958-11-19,NA
C. P. Mainali,1951-08-22,NA
Radha Krishna Mainali,1946-09-26,NA
Salma Khatoon Mikrani,1976-01-25,NA
Bimalendra Nidhi,1956-09-25,NA
Basanta Kumar Nemwang,1962-03-21,NA
Madhav Kumar Nepal,1953-03-06,NA
KP Sharma Oli,1952-02-22,NA
Bal Chandra Poudel,1959-06-22,NA
Binda Pandey,1966-12-30,NA
Surendra Pandey,1958-08-25,NA
Tilak Pariyar,1943-10-31,NA
Ananta Prasad Paudel,1962-07-28,NA
Bishnu Prasad Paudel,1959-11-20,NA
Bidhyanath Pokhrel,1918-06-09,25 August 1994
Shankar Pokharel,1963-02-27,NA
Sahana Pradhan,1927-06-17,22 September 2014
Sher Dhan Rai,1971-02-23,NA
Lal Bahadur Rawal,1963-02-02,NA
Ganesh Prasad Rijal,1920-05-11,4 April 1998
Minendra Rijal,1957-10-01,NA
Agni Prasad Sapkota,1958-03-07,NA
Astalaxmi Shakya,1953-09-30,NA
Prakash Man Singh,1956-04-03,NA
Dal Bahadur Sunar,1959-10-01,NA
Sher Bahadur Tamang,1969-03-28,NA
Surya Man Dong Tamang,1970-04-20,NA
Gagan Thapa,1976-07-16,NA
Surya Bahadur Thapa,1928-03-21,15 April 2015
Hridayesh Tripathi,1959-06-18,NA
